lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.02,2023-04-24 14:31:15.999389,,,,,,,,,,,,,,
,2023-04-24 14:31:17.074235,0.24191509187221527,0.0022944638039916754,0.24191509187221527,4549.0,25.0,,,,,,,,,
,2023-04-24 14:31:19.892850,,,,,25.0,0.15388230979442596,0.0007888893596827984,0.15388230979442596,0.17579901218414307,0.0011235879501327872,0.17579901218414307,,,
,2023-04-24 14:31:19.939544,,,,,25.0,,,,,,,0.14121931791305542,0.0019038276514038444,0.14121931791305542
0.02,2023-04-24 14:32:12.902645,,,,,,,,,,,,,,
,2023-04-24 14:32:13.970672,0.16288051009178162,0.000778247369453311,0.16288051009178162,4599.0,26.0,,,,,,,,,
0.02,2023-04-24 14:33:06.588990,,,,,,,,,,,,,,
,2023-04-24 14:33:07.660396,0.11340717226266861,0.00042498670518398285,0.11340717226266861,4649.0,26.0,,,,,,,,,
0.02,2023-04-24 14:34:00.534686,,,,,,,,,,,,,,
,2023-04-24 14:34:01.606718,0.0807858482003212,0.00028195668710395694,0.0807858482003212,4699.0,26.0,,,,,,,,,
,2023-04-24 14:34:31.542464,,,,,26.0,0.12249959260225296,0.0005046805017627776,0.12249959260225296,0.07903306931257248,0.0002992477093357593,0.07903306931257248,,,
,2023-04-24 14:34:31.593431,,,,,26.0,,,,,,,0.13618817925453186,0.001981028588488698,0.13618817925453186
0.02,2023-04-24 14:34:57.934812,,,,,,,,,,,,,,
,2023-04-24 14:34:59.005238,0.0396016389131546,0.00014337732864078134,0.0396016389131546,4749.0,27.0,,,,,,,,,
0.02,2023-04-24 14:35:52.018892,,,,,,,,,,,,,,
,2023-04-24 14:35:53.086991,0.2245759665966034,0.0009294236660934985,0.2245759665966034,4799.0,27.0,,,,,,,,,
0.02,2023-04-24 14:36:45.796211,,,,,,,,,,,,,,
,2023-04-24 14:36:46.867647,0.180991068482399,0.000761297473218292,0.180991068482399,4849.0,27.0,,,,,,,,,
0.02,2023-04-24 14:37:39.712288,,,,,,,,,,,,,,
,2023-04-24 14:37:40.779364,0.1797502636909485,0.0014837044291198254,0.1797502636909485,4899.0,27.0,,,,,,,,,
